Conduzione;Anno;Lavoazione;Orzo (t/ha);Girasole(t/ha)
Biologico;2016;Arato;"3.7;+-;0.04;abc";"2.45;+-;0.75;abc"
;;Rip;"3.3;+-;0.25;bc";"2.94;+-;0.47;abc"
;;Fzo;"3.2;+-;0.08;bc";"1.58;+-;0.05;bc"
;2017;Arato;"2.9;+-;0.08;bc";"1.40;+-;0.33;bc"
;;Rip;"2.3;+-;0.27;c";"1.00;+-;0.10;bc"
;;Fzo;"2.2;+-;0.17;c";"1.13;+-;0.18;bc"
Convenzionale;2016;Arato;"5.0;+-;0.16;a";"4.52;+-;0.38;a"
;;Rip;"5.0;+-;0.23;a";"3.35;+-;0.08;ab"
;;Fzo;"5.0;+-;0.20;a";"2.68;+-;0.07;abc"
;2017;Arato;"4.5;+-;0.19;ab";"0.17;+-;0.18;c"
;;Rip;"4.5;+-;0.11;ab";"0.17;+-;0.27;c"
;;Fzo;"3.9;+-;0.21;ab";"0.40;+-;0.18;c"
