"TRT";"APPEZZAMENTO";"PARCELLA";"LAVORAZIONE";"Nitrogen";"C.inorganico";"Nitrogen_HCl";"C.organico"
"1";"CO";10;1;"Ara";0.127377443;2.3032055795;0.1105233875;0.7032859625
"2";"CO";10;1;"Fzo";0.134986777;2.644593179;0.1188627185;0.8774815205
"3";"CO";10;1;"Rip";0.135650456;2.6702543795;0.1182867105;0.811801046
"4";"CO";10;2;"Ara";0.1344758795;3.5509620305;0.0916490405;0.689078033
"5";"CO";10;2;"Fzo";0.1348110775;3.2601385415;0.128604442;0.887919158
"6";"CO";10;2;"Rip";0.141784422;3.7321156855;0.1154191905;0.755185664
"7";"CO";10;3;"Ara";0.1474693195;3.43740806;0.1232122225;0.8529361785
"8";"CO";10;3;"Fzo";0.1469465495;3.354412347;0.109024402;0.828378886
"9";"CO";10;3;"Rip";0.128549654;3.2824274005;0.1101720145;0.781138092
"10";"CO";9;1;"Ara";0.1353722365;2.1563432815;0.09232793;0.770821154
"11";"CO";9;1;"Fzo";0.1297003105;1.999792397;0.109676916;0.7605624795
"12";"CO";9;1;"Rip";0.134703316;2.18972075;0.104734078;0.8256181475
"13";"CO";9;2;"Ara";0.127855111;3.032238394;0.102960046;0.740015596
"14";"CO";9;2;"Fzo";0.1197541245;2.8757908045;0.099689368;0.7630622685
"15";"CO";9;2;"Rip";0.1147746705;3.1711146535;0.09501661;0.747056156
"16";"CO";9;3;"Ara";0.136593118;2.8934065105;0.1133516505;0.754591465
"17";"CO";9;3;"Fzo";0.1474950685;2.8754242655;0.126402594;0.8115216495
"18";"CO";9;3;"Rip";0.1322590855;2.8348502515;0.1125928725;0.8047015075
"19";"OO";2;1;"Ara";0.1463244185;2.0772028565;0.1160472075;0.7877759335
"20";"OO";2;1;"Fzo";0.122829404;2.311232776;0.1381337195;0.925888091
"21";"OO";2;1;"Rip";0.142655425;2.1468648315;0.1424558015;0.9837906955
"22";"OO";2;2;"Ara";0.114633478;2.5178928375;0.1112217975;0.8814849855
"23";"OO";2;2;"Fzo";0.1276657135;1.925827384;0.109617073;0.846273065
"24";"OO";2;2;"Rip";0.1329919435;2.206442684;0.131373316;1.0178056065
"25";"OO";2;3;"Ara";0.1260803195;2.777830213;0.10869097;0.760767013
"26";"OO";2;3;"Fzo";0.14643921;2.680877745;0.10165957;0.8164022565
"27";"OO";2;3;"Rip";0.1407738925;2.1712189315;0.1052896565;0.777514398
"28";"OO";4;1;"Ara";0.139968075;2.020516455;0.111730162;0.852977097
"29";"OO";4;1;"Fzo";0.112564959;1.9766524735;0.108536832;0.859339386
"30";"OO";4;1;"Rip";0.125316318;2.1636203728;0.091848187;0.7535646957
"31";"OO";4;2;"Ara";0.1466225385;2.194457769;0.1200352015;0.7713085415
"32";"OO";4;2;"Fzo";0.0982826915;2.0593034427;0.097095887;0.6987526023
"33";"OO";4;2;"Rip";0.1063202285;2.004711539;0.116063196;0.856588572
"34";"OO";4;3;"Ara";0.126891274;2.396133393;0.1077711435;0.753243357
"35";"OO";4;3;"Fzo";0.1281967205;2.45569846;0.117666189;0.8618210855
"36";"OO";4;3;"Rip";0.1465857775;2.3891633455;0.1106092445;0.7963236865
