"TRT";"APPEZZAMENTO";"PARCELLA";"LAVORAZIONE";"densita.apparente";"densita.clod";"Diam.Medio.Pori";"Por.Tot";"Diam.aggr.dry";"Diam.aggr.wet"
"1";"CO";10;1;"Ara";1.50113080000994;1.90303882017638;NA;NA;165.903;226.388
"2";"CO";10;1;"Fzo";1.1269572155181;1.8604958559219;NA;NA;298.2;337.579
"3";"CO";10;1;"Rip";NA;1.93384301168887;NA;NA;211.393;299.703
"4";"CO";10;2;"Ara";1.26161601872452;1.92484458396255;7.03334203988451;148.452611218569;209.429;294.777
"5";"CO";10;2;"Fzo";1.34697723867975;1.9018817557248;1.25385233059146;153.774385072095;169.33;326.471
"6";"CO";10;2;"Rip";1.11220069787029;1.91854689482845;10.2760772902028;151.441241685144;321.662;409.674
"7";"CO";10;3;"Ara";1.34901712279034;1.95136931060519;NA;NA;350.934;250.26
"8";"CO";10;3;"Fzo";1.58263072376249;1.88933671617959;NA;NA;251.904;68.615
"9";"CO";10;3;"Rip";1.28420711732247;1.93425824153987;NA;NA;245.638;571.987
"10";"CO";9;1;"Ara";1.18392325062466;1.90956964407381;NA;NA;207.653;276.743
"11";"CO";9;1;"Fzo";1.33801700269555;1.90183303424388;NA;NA;145.835;215.598
"12";"CO";9;1;"Rip";1.33862241036136;1.82196281777904;NA;NA;138.962;434.714
"13";"CO";9;2;"Ara";1.32733251925379;1.92541171507945;3.83322472902922;171.375807940905;265.123;486.882
"14";"CO";9;2;"Fzo";1.29842061512884;1.85160389002277;5.70156875855533;190.576496674058;181.216;238.475
"15";"CO";9;2;"Rip";1.24661042482675;1.88666100294885;5.42212743461324;161.909871244635;246.316;329.951
"16";"CO";9;3;"Ara";1.63081360413412;1.96732701081579;NA;NA;234.93;187.259
"17";"CO";9;3;"Fzo";1.38233537939764;1.90929832711962;NA;NA;191.299;239.713
"18";"CO";9;3;"Rip";1.29542915547527;1.87996171858883;NA;NA;130.824;188.375
"19";"OO";2;1;"Ara";1.28646078466867;1.88709594474777;NA;NA;136.589;222.401
"20";"OO";2;1;"Fzo";1.341945343187;1.85402613806693;NA;NA;210.7;222.568
"21";"OO";2;1;"Rip";1.26077903132831;1.93252394446403;NA;NA;271.237;331.867
"22";"OO";2;2;"Ara";1.3334192943383;2.00429555515768;4.53087334250688;161.224489795918;326.764;438.61
"23";"OO";2;2;"Fzo";1.30393085342316;1.77960632872636;6.75537543244822;223.440643863179;161.678;199.265
"24";"OO";2;2;"Rip";1.39124606049203;1.83661636846287;10.0203096797671;247.344734473447;257.578;241.192
"25";"OO";2;3;"Ara";1.36584105509166;1.8999515558172;NA;NA;139.16;227.145
"26";"OO";2;3;"Fzo";1.26597116399015;1.86323353677979;NA;NA;228.908;283.54
"27";"OO";2;3;"Rip";1.34972225505259;1.81061329134065;NA;NA;129.646;244.403
"28";"OO";4;1;"Ara";1.35558706956111;1.85586845720629;NA;NA;139.973;219.97
"29";"OO";4;1;"Fzo";1.38055222088836;1.91565043604554;NA;NA;171.65;237.808
"30";"OO";4;1;"Rip";1.33213960546282;1.89681082953759;NA;NA;199.142;216.969
"31";"OO";4;2;"Ara";1.43244022241704;1.88435837562676;1.93155954825462;174.831243972999;115.804;160.306
"32";"OO";4;2;"Fzo";1.32973949894055;1.81268071147115;3.41471412402735;213.126709206928;215.792;253.368
"33";"OO";4;2;"Rip";1.38183605751505;1.91937873219083;2.52756244611405;163.197969543147;176.829;182.239
"34";"OO";4;3;"Ara";1.4386759359653;1.87616236416512;NA;NA;122.079;359.729
"35";"OO";4;3;"Fzo";1.46844583987441;1.83817964674638;NA;NA;145.672;198.58
"36";"OO";4;3;"Rip";1.68885261757949;1.84934326739597;NA;NA;249.156;217.231
