COND	FIELD	TIL	PLOT	LAYER	REP	P2O6	SO	N.TOT	C/N
OO	1	C	2	2	cumu	9,24	1,34	1,02	7,64
OO	1	A	3	1	cumu	10,16	1,37	1,03	7,77
OO	1	B	2	1	cumu	10,16	1,34	1,04	7,48
OO	1	B	3	2	cumu	11,07	1,44	1,15	7,28
OO	1	A	1	1	cumu	11,98	1,61	1,16	8,06
OO	1	A	3	2	cumu	11,98	1,31	0,98	7,73
OO	1	B	3	1	cumu	12,29	1,64	1,17	8,15
OO	1	A	2	1	cumu	12,89	1,47	1,07	8,01
OO	1	C	2	1	cumu	13,5	1,51	1,06	8,28
OO	1	B	1	2	cumu	15,02	1,68	1,09	8,9
OO	1	C	1	2	cumu	15,02	1,61	1,15	8,14
OO	1	B	1	1	cumu	15,63	1,57	1,18	7,75
OO	1	C	3	1	cumu	17,15	1,76	1,19	8,62
CO	10	C	1	2	cumu	17,46	1,46	1,07	7,91
OO	1	C	3	2	cumu	17,46	1,49	1,2	7,24
OO	1	C	1	1	cumu	18,06	1,68	1,18	8,28
CO	10	B	3	1	cumu	18,67	1,73	1,18	8,47
CO	10	C	3	2	cumu	21,41	1,69	1,22	8,09
CO	10	C	2	2	cumu	23,54	1,86	1,27	8,51
CO	10	A	3	1	cumu	25,36	1,66	1,19	8,08
CO	10	C	1	1	cumu	26,58	1,66	1,12	8,61
CO	10	C	2	1	cumu	26,88	1,86	1,28	8,47
CO	10	A	1	1	cumu	28,4	1,25	1	7,3
CO	10	A	2	1	cumu	28,71	1,69	1,17	8,42
CO	10	B	2	1	cumu	31,75	1,79	1,21	8,64
CO	10	B	1	1	cumu	34,79	1,62	1,09	8,67
CO	10	C	3	1	cumu	51,21	1,96	1,32	8,63
CO	10	A	1	2	cumu	NA	NA	NA	NA
CO	10	A	2	2	cumu	NA	NA	NA	NA
CO	10	A	3	2	cumu	NA	NA	NA	NA
CO	10	B	1	2	cumu	NA	NA	NA	NA
CO	10	B	2	2	cumu	NA	NA	NA	NA
CO	10	B	3	2	cumu	NA	NA	NA	NA
OO	1	A	1	2	cumu	NA	NA	NA	NA
OO	1	A	2	2	cumu	NA	NA	NA	NA
OO	1	B	2	2	cumu	NA	NA	NA	NA
