SampleName	PARCELLA	Nitrogen	Carbon
1	CO9A1	0,09232793	0,770821154
2	CO9C1	0,109676916	0,7605624795
3	OO2B2	0,131373316	1,0178056065
4	OO4B2	0,116063196	0,856588572
5	CO9A3	0,1133516505	0,754591465
6	CO9C3	0,126402594	0,8115216495
7	OO4A2	0,1200352015	0,7713085415
8	CO10B2	0,1154191905	0,755185664
9	CO9A2	0,102960046	0,740015596
10	OO2C1	0,1381337195	0,925888091
11	CO10C2	0,128604442	0,887919158
12	OO4C2	0,097095887	0,6987526023
13	CO9C2	0,099689368	0,7630622685
14	OO2B1	0,1424558015	0,9837906955
15	CO10A1	0,1105233875	0,7032859625
16	OO2A3	0,10869097	0,760767013
17	CO10A3	0,1232122225	0,8529361785
18	OO4A1	0,111730162	0,852977097
19	CO10C1	0,1188627185	0,8774815205
20	CO10A2	0,0916490405	0,689078033
21	OO2B3	0,1052896565	0,777514398
22	OO4B1	0,091848187	0,7535646957
23	CO9B2	0,09501661	0,747056156
24	OO2C3	0,10165957	0,8164022565
25	CO10B3	0,1101720145	0,781138092
26	OO2A1	0,1160472075	0,7877759335
27	OO4B3	0,1106092445	0,7963236865
28	CO10C3	0,109024402	0,828378886
29	CO9B1	0,104734078	0,8256181475
30	CO10B1	0,1182867105	0,811801046
31	OO4A3	0,1077711435	0,753243357
32	CO9B3	0,1125928725	0,8047015075
33	OO2C2	0,109617073	0,846273065
34	OO2A2	0,1112217975	0,8814849855
35	OO4C3	0,117666189	0,8618210855
36	OO4C1	0,108536832	0,859339386
