PARCELLA	REPLICA	P.105.gr	P.Spinta.gr
OO4A2	a	13,468	5,422
OO2C3	a	12,575	4,897
OO2C1	a	5,188	2,195
CO10B1	a	7,511	2,881
CO10A1	a	11,119	4,318
OO2A3	a	7,248	2,983
OO4B2	a	7,435	2,869
CO9C2	a	9,133	3,683
OO4B3	a	5,923	2,356
CO9B1	a	9,021	3,589
OO2B2	a	8,749	3,52
OO4C2	a	5,952	2,491
OO4C3	a	8,699	3,504
CO9B3	a	8,166	3,254
OO4A1	a	6,874	2,87
CO9A2	a	7,082	2,782
CO10B2	a	7,137	2,991
CO10B3	a	8,083	3,202
OO2C2	a	7,732	3,186
CO9C3	a	7,118	2,752
CO10C3	a	12,144	4,837
CO9C1	a	8,146	3,017
CO10C2	a	7,418	2,769
CO9B2	a	6,696	2,695
OO4A3	a	7,563	3,024
CO10C1	a	9,493	4,023
OO4C1	a	8,765	3,426
OO4B1	a	6,896	2,766
CO10A2	a	9,405	3,767
OO2B1	a	6,698	2,708
CO9A1	a	7,853	3,053
CO9A3	a	8,052	3,165
OO2B3	a	6,419	2,609
OO2A1	a	8,501	3,449
OO2A2	a	9,616	3,759
CO10A3	a	7,436	2,902
CO9C1	b	7,794	3,188
OO2B2	b	11,432	4,415
OO2C2	b	10,297	4,327
OO2A3	b	8,908	3,493
CO9C3	b	8,204	3,278
OO2A1	b	10,538	4,295
CO9A3	b	11,268	4,455
CO10C3	b	7,873	3,116
OO2B3	b	14,813	5,774
CO10B2	b	8,805	3,238
CO10A1	b	9,15	3,584
CO10B3	b	6,177	2,557
CO9C2	b	8,253	3,344
CO9A2	b	8,912	3,395
CO10A2	b	6,937	2,805
CO9B3	b	6,517	2,745
CO10C1	b	10,476	4,148
CO10C2	b	5,987	2,385
OO4C2	b	8,516	3,357
CO9B1	b	13,244	5,216
OO4A1	b	12,057	5,037
OO4C1	b	15,184	5,822
CO10B1	b	10,783	4,155
OO2C1	b	11,061	4,334
OO4A3	b	14,149	5,713
OO4B2	b	8,638	3,575
OO4A2	b	13,839	5,658
CO9A1	b	10,711	4,195
CO10A3	b	12,604	4,784
CO9B2	b	9,127	3,627
OO2B1	b	13,117	5,074
OO4C3	b	6,582	2,828
OO4B1	b	9,006	3,787
OO2C3	b	10,684	4,612
OO2A2	b	12,597	5,181
OO4B3	b	8,414	3,465
CO10A1	m	8,057	3,16
OO2B1	m	5,385	2,109
OO4B3	m	5,371	2,195
CO9B1	m	7,642	3,167
CO10C1	m	5,095	2,139
OO2A1	m	7,282	2,894
OO4B1	m	5,931	2,492
CO10C3	m	10,776	4,134
CO9C1	m	7,389	3,025
OO4A3	m	7,677	3,039
CO9A1	m	6,872	2,819
OO2C1	m	9,273	3,725
OO4C3	m	7,258	2,885
CO10A3	m	8,031	3,15
OO2A3	m	6,331	2,595
CO9A3	m	12,568	4,888
OO2B3	m	9,012	3,521
CO9B3	m	8,679	3,542
CO9C3	m	7,503	3,053
OO4C1	m	7,875	3,131
CO10B1	m	5,803	2,295
OO4A2	m	7,467	2,87
CO10B2	m	6,114	2,5
OO4A1	m	7,28	2,886
CO10B3	m	10,083	3,845
CO10C2	m	6,489	2,591
OO2B2	m	4,833	2,022
CO10A2	m	6,052	2,441
CO9B2	m	8,042	3,209
CO9A2	m	6,903	2,763
OO4B2	m	8,939	3,535
OO2A2	m	6,225	2,516
OO4C2	m	10,313	4,253
OO2C3	m	6,57	2,672
OO2C2	m	4,966	2,166
CO9C2	m	6,66	2,784
