Sample.Name;APPEZZAMENTO;PARCELLA;CODICE;REPLICA
1;OO2;A;1;m
2;OO2;B;1;m
3;OO2;C;1;m
4;OO2;A;2;m
5;OO2;B;2;m
6;OO2;C;2;m
7;OO2;A;3;m
8;OO2;B;3;m
9;OO2;C;3;m
10;OO4;A;1;m
11;OO4;B;1;m
12;OO4;C;1;m
13;OO4;A;2;m
14;OO4;B;2;m
15;OO4;C;2;m
16;OO4;A;3;m
17;OO4;B;3;m
18;OO4;C;3;m
19;CO9;A;1;m
20;CO9;B;1;m
21;CO9;C;1;m
22;CO9;A;2;m
23;CO9;B;2;m
24;CO9;C;2;m
25;CO9;A;3;m
26;CO9;B;3;m
27;CO9;C;3;m
28;CO10;A;1;m
29;CO10;B;1;m
30;CO10;C;1;m
31;CO10;A;2;m
32;CO10;B;2;m
33;CO10;C;2;m
34;CO10;A;3;m
35;CO10;B;3;m
36;CO10;C;3;m
